match_id,match_url,player1,player1_score,player2_score,player2,number_of_turns,map
M263,https://boardgamearena.com/table?table=632695048,randale_und_hurra,89.0,114.0,Maro97,27.0,Silver Lake (3a)
M264,https://boardgamearena.com/table?table=630412396,Andrewsmile,78.0,125.0,Faerch,27.0,Silver Lake (3a)
M265,https://boardgamearena.com/table?table=631589523,Faerch,118.0,127.0,TonyBegonia,30.0,Observation Tower (1a)
M266,https://boardgamearena.com/table?table=629686685,Propaganda Panda,132.0,133.0,randale_und_hurra,32.0,Silver Lake (3a)
M267,https://boardgamearena.com/table?table=627192794,tobiko11,94.0,126.0,Helbiii,30.0,Outdoor Areas (2a)
M268,https://boardgamearena.com/table?table=631208209,Paju_,104.0,110.0,LorraineRC,27.0,Ice Cream Parlors (7a)
M269,https://boardgamearena.com/table?table=624707810,sorryimlikethis,115.0,121.0,howwow90,32.0,Hollywood Hills (8a)
M270,https://boardgamearena.com/table?table=631237640,BlanketAddict,134.0,115.0,ryanechternacht,32.0,Observation Tower (1a)
M271,https://boardgamearena.com/table?table=625673691,derekhuo,114.0,111.0,Andrewsmile,29.0,Geographical Zoo (9)
M272,https://boardgamearena.com/table?table=632135071,Maro97,102.0,129.0,LXYR,30.0,Outdoor Areas (2a)
M273,https://boardgamearena.com/table?table=630939710,derekhuo,107.0,120.0,TonyBegonia,32.0,Research Institute (6a)
M274,https://boardgamearena.com/table?table=629660026,Propaganda Panda,118.0,109.0,LXYR,29.0,Park Restaurant (5a)
M275,https://boardgamearena.com/table?table=630872456,tobiko11,130.0,103.0,ryanechternacht,29.0,Observation Tower (1a)
M276,https://boardgamearena.com/table?table=645799420,sorryimlikethis,103.0,125.0,Maro97,30.0,Observation Tower (1a)
M277,https://boardgamearena.com/table?table=625005911,howwow90,110.0,120.0,Andrewsmile,32.0,Park Restaurant (5a)
M278,https://boardgamearena.com/table?table=632717031,Faerch,84.0,113.0,BlanketAddict,28.0,Outdoor Areas (2a)
M279,https://boardgamearena.com/table?table=632225499,Paju_,101.0,128.0,Helbiii,32.0,Hollywood Hills (8a)
M280,https://boardgamearena.com/table?table=627429030,LorraineRC,124.0,117.0,randale_und_hurra,30.0,Geographical Zoo (9)
M281,https://boardgamearena.com/table?table=632338562,Andrewsmile,85.0,137.0,Maro97,31.0,Research Institute (6a)
M282,https://boardgamearena.com/table?table=623884666,Propaganda Panda,127.0,110.0,sorryimlikethis,32.0,Observation Tower (1a)
M283,https://boardgamearena.com/table?table=636028829,Faerch,105.0,116.0,ryanechternacht,32.0,Geographical Zoo (9)
M284,https://boardgamearena.com/table?table=635617279,randale_und_hurra,-1.0,58.0,Helbiii,,Park Restaurant (5a)
M285,https://boardgamearena.com/table?table=647496296,BlanketAddict,133.0,111.0,derekhuo,27.0,Ice Cream Parlors (7a)
M286,https://boardgamearena.com/table?table=633516613,howwow90,124.0,113.0,TonyBegonia,33.0,Geographical Zoo (9)
M287,https://boardgamearena.com/table?table=634355736,Paju_,109.0,125.0,tobiko11,29.0,Outdoor Areas (2a)
M288,https://boardgamearena.com/table?table=634026891,LXYR,120.0,119.0,LorraineRC,33.0,Silver Lake (3a)
M289,https://boardgamearena.com/table?table=648124216,Faerch,123.0,126.0,derekhuo,32.0,Geographical Zoo (9)
M290,https://boardgamearena.com/table?table=633554196,Maro97,109.0,87.0,TonyBegonia,28.0,Geographical Zoo (9)
M291,No hyperlink,ryanechternacht,,,Paju_,,
M292,https://boardgamearena.com/table?table=635127961,Helbiii,111.0,117.0,LXYR,28.0,Ice Cream Parlors (7a)
M293,https://boardgamearena.com/table?table=633276886,Propaganda Panda,90.0,110.0,Andrewsmile,27.0,Observation Tower (1a)
